Neighborhood,revenue,price_per_night,avg_nights_booked
Bayview,7702,112,66
Bernal Heights,16183,186,92
Castro/Upper Market,23018,268,101
Chinatown,6699,374,45
Crocker Amazon,8014,91,88
Diamond Heights,27928,237,111
Downtown/Civic Center,3254,262,28
Excelsior,12357,117,113
Financial District,5837,754,48
Glen Park,13082,246,77
Golden Gate Park,26645,197,154
Haight Ashbury,14558,186,73
Inner Richmond,16497,192,102
Inner Sunset,18203,265,88
Lakeshore,11716,124,79
Marina,23918,297,101
Mission,13872,178,79
Nob Hill,10305,203,62
Noe Valley,19204,224,95
North Beach,12908,266,70
Ocean View,9816,107,94
Outer Mission,13610,161,89
Outer Richmond,20896,187,117
Outer Sunset,17988,142,133
Pacific Heights,18954,291,83
Parkside,19357,158,128
Potrero Hill,19246,246,93
Presidio,33130,300,99
Presidio Heights,16971,211,75
Russian Hill,16705,325,65
Seacliff,12277,167,95
South of Market,9692,205,60
Treasure Island/YBI,0,0,0
Twin Peaks,25789,264,99
Visitacion Valley,16385,143,133
Western Addition,12861,210,75
West of Twin Peaks,16885,174,109